trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.918, 'e': 0.0252484831192414}",25,8,26.133693988645145,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.918, 'e': 0.023178107503463607}",20,14,11.54362318683695,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.918, 'e': 0.02127750268817959}",30,13,32.897992034561284,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.918, 'e': 0.019532747467748867}",20,8,22.535598184288098,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.918, 'e': 0.017931062175393458}",20,6,-25.755892002600312,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
48,False,"{'a': 0.918, 'e': 0.016460715077011197}",30,19,22.19809269737463,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.918, 'e': 0.015110936440696278}",20,14,10.728309390932397,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.918, 'e': 0.013871839652559184}",20,15,8.045673607345702,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.918, 'e': 0.012734348801049332}",20,6,26.975192550108307,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.918, 'e': 0.011690132199363287}",35,26,14.2883304655159,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.918, 'e': 0.010731541359015499}",20,6,17.687329359586297,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.918, 'e': 0.009851554967576228}",20,9,18.580981883122487,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.918, 'e': 0.009043727460234978}",25,17,12.20562583741767,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.918, 'e': 0.00830214180849571}",25,9,25.26777412988184,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.918, 'e': 0.0076213661801990615}",20,11,10.805266744007508,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.918, 'e': 0.006996414153422739}",20,8,23.54532967306365,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.918, 'e': 0.006422708192842075}",20,8,21.695025258411587,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.918, 'e': 0.005896046121029025}",30,22,13.181093781293356,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.918, 'e': 0.005412570339104645}",25,8,28.713523279752536,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.918, 'e': 0.004968739571298064}",20,10,15.79134446373285,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.918, 'e': 0.0045613029264516235}",20,5,3.099877053884318,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.918, 'e': 0.00418727608648259}",20,14,7.424480413682971,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.918, 'e': 0.0038439194473910182}",30,13,10.93279372883561,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.918, 'e': 0.0035287180527049547}",25,13,26.683233648879188,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.918, 'e': 0.0032393631723831484}",25,14,23.288498361901993,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.918, 'e': 0.0029737353922477303}",20,5,23.71888135543142,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.918, 'e': 0.0027298890900834165}",25,6,29.66334107805718,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.918, 'e': 0.0025060381846965765}",20,12,16.53950748841103,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.918, 'e': 0.0023005430535514575}",20,6,25.28246966521319,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.918, 'e': 0.002111898523160238}",20,8,23.100181250139627,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.918, 'e': 0.0019387228442610987}",20,10,11.631091410266405,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.918, 'e': 0.0017797475710316887}",20,9,12.321528589791075,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.918, 'e': 0.0016338082702070903}",20,13,15.130959012759453,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.918, 'e': 0.0014998359920501089}",30,18,21.260477238650285,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.918, 'e': 0.001376849440702}",20,2,27.342942567388327,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.918, 'e': 0.001263947786564436}",20,16,7.79347718454211,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.918, 'e': 0.0011603040680661523}",25,18,15.402085757773868,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.918, 'e': 0.0010651591344847278}",20,6,25.410319058508904,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.918, 'e': 0.0009778160854569803}",25,13,17.3503402481797,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.918, 'e': 0.0008976351664495079}",20,12,17.084067592399336,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.918, 'e': 0.0008240290828006483}",25,8,27.38252716567682,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.918, 'e': 0.0007564586980109951}",25,15,19.289595808204652,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.918, 'e': 0.0006944290847740935}",30,16,24.7709326871936,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.918, 'e': 0.0006374858998226179}",20,0,27.00419345467062,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.918, 'e': 0.0005852120560371633}",20,10,18.19411468982318,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
